Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"31/01/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"5.83";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"7.70";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"7.93";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"8.33";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"8.28";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"7.94";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"7.80";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"6.13";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"8.29";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"8.21";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"8.07";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"7.36";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"46";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"10.05";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"11.72";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"12.54";"1";"ºC"
