Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"12/05/2023";"Temperatura media  atura a 1.5m";"12.14";"1";"ºC"
"13/05/2023";"Lluvia";"0.0";"1";"L/m2"
"13/05/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"13/05/2023";"Temperatura media  atura a 1.5m";"12.64";"1";"ºC"
"14/05/2023";"Lluvia";"0.0";"1";"L/m2"
"14/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"14/05/2023";"Temperatura media  atura a 1.5m";"14.40";"1";"ºC"
"15/05/2023";"Lluvia";"0.0";"1";"L/m2"
"15/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"15/05/2023";"Temperatura media  atura a 1.5m";"13.59";"1";"ºC"
"16/05/2023";"Lluvia";"0.0";"1";"L/m2"
"16/05/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"16/05/2023";"Temperatura media  atura a 1.5m";"13.70";"1";"ºC"
"17/05/2023";"Lluvia";"0.0";"1";"L/m2"
"17/05/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"17/05/2023";"Temperatura media  atura a 1.5m";"14.86";"1";"ºC"
"18/05/2023";"Lluvia";"0.0";"1";"L/m2"
"18/05/2023";"Humedad relativa media a 1.5m";"54";"1";"%"
"18/05/2023";"Temperatura media  atura a 1.5m";"14.34";"1";"ºC"
"19/05/2023";"Lluvia";"0.0";"1";"L/m2"
"19/05/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"19/05/2023";"Temperatura media  atura a 1.5m";"13.87";"1";"ºC"
"20/05/2023";"Lluvia";"0.0";"1";"L/m2"
"20/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"20/05/2023";"Temperatura media  atura a 1.5m";"14.21";"1";"ºC"
"21/05/2023";"Lluvia";"0.0";"1";"L/m2"
"21/05/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"21/05/2023";"Temperatura media  atura a 1.5m";"14.40";"1";"ºC"
"22/05/2023";"Lluvia";"0.0";"1";"L/m2"
"22/05/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"22/05/2023";"Temperatura media  atura a 1.5m";"16.11";"1";"ºC"
"23/05/2023";"Lluvia";"0.0";"1";"L/m2"
"23/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"23/05/2023";"Temperatura media  atura a 1.5m";"17.81";"1";"ºC"
"24/05/2023";"Lluvia";"0.0";"1";"L/m2"
"24/05/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"24/05/2023";"Temperatura media  atura a 1.5m";"17.66";"1";"ºC"
"25/05/2023";"Lluvia";"0.0";"1";"L/m2"
"25/05/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"25/05/2023";"Temperatura media  atura a 1.5m";"17.53";"1";"ºC"
"26/05/2023";"Lluvia";"2.1";"1";"L/m2"
"26/05/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"26/05/2023";"Temperatura media  atura a 1.5m";"17.32";"1";"ºC"
"27/05/2023";"Lluvia";"0.7";"1";"L/m2"
"27/05/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"27/05/2023";"Temperatura media  atura a 1.5m";"18.33";"1";"ºC"
"28/05/2023";"Lluvia";"30.4";"1";"L/m2"
"28/05/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"28/05/2023";"Temperatura media  atura a 1.5m";"16.50";"1";"ºC"
"29/05/2023";"Lluvia";"0.0";"1";"L/m2"
"29/05/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"29/05/2023";"Temperatura media  atura a 1.5m";"17.66";"1";"ºC"
"30/05/2023";"Lluvia";"10.2";"1";"L/m2"
"30/05/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"30/05/2023";"Temperatura media  atura a 1.5m";"16.23";"1";"ºC"
"31/05/2023";"Lluvia";"1.1";"1";"L/m2"
"31/05/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"31/05/2023";"Temperatura media  atura a 1.5m";"17.08";"1";"ºC"
"01/06/2023";"Lluvia";"0.0";"1";"L/m2"
"01/06/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"01/06/2023";"Temperatura media  atura a 1.5m";"18.24";"1";"ºC"
"02/06/2023";"Lluvia";"0.0";"1";"L/m2"
"02/06/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"02/06/2023";"Temperatura media  atura a 1.5m";"18.22";"1";"ºC"
"03/06/2023";"Lluvia";"16.0";"1";"L/m2"
"03/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"03/06/2023";"Temperatura media  atura a 1.5m";"17.48";"1";"ºC"
"04/06/2023";"Lluvia";"5.4";"1";"L/m2"
"04/06/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"04/06/2023";"Temperatura media  atura a 1.5m";"17.63";"1";"ºC"
"05/06/2023";"Lluvia";"0.0";"1";"L/m2"
"05/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"05/06/2023";"Temperatura media  atura a 1.5m";"18.97";"1";"ºC"
"06/06/2023";"Lluvia";"7.1";"1";"L/m2"
"06/06/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"06/06/2023";"Temperatura media  atura a 1.5m";"20.52";"1";"ºC"
"07/06/2023";"Lluvia";"12.2";"1";"L/m2"
"07/06/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"07/06/2023";"Temperatura media  atura a 1.5m";"18.24";"1";"ºC"
"08/06/2023";"Lluvia";"30.2";"1";"L/m2"
"08/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"08/06/2023";"Temperatura media  atura a 1.5m";"18.46";"1";"ºC"
"09/06/2023";"Lluvia";"8.5";"1";"L/m2"
"09/06/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"09/06/2023";"Temperatura media  atura a 1.5m";"17.29";"1";"ºC"
"10/06/2023";"Lluvia";"1.2";"1";"L/m2"
"10/06/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"10/06/2023";"Temperatura media  atura a 1.5m";"17.79";"1";"ºC"
"11/06/2023";"Lluvia";"0.0";"1";"L/m2"
"11/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"11/06/2023";"Temperatura media  atura a 1.5m";"17.47";"1";"ºC"
"12/06/2023";"Lluvia";"15.0";"1";"L/m2"
"12/06/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"12/06/2023";"Temperatura media  atura a 1.5m";"17.25";"1";"ºC"
"13/06/2023";"Lluvia";"7.3";"1";"L/m2"
"13/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"13/06/2023";"Temperatura media  atura a 1.5m";"17.35";"1";"ºC"
"14/06/2023";"Lluvia";"0.0";"1";"L/m2"
"14/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"14/06/2023";"Temperatura media  atura a 1.5m";"19.02";"1";"ºC"
"15/06/2023";"Lluvia";"0.0";"1";"L/m2"
"15/06/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"15/06/2023";"Temperatura media  atura a 1.5m";"21.25";"1";"ºC"
"16/06/2023";"Lluvia";"0.0";"1";"L/m2"
"16/06/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"16/06/2023";"Temperatura media  atura a 1.5m";"21.52";"1";"ºC"
"17/06/2023";"Lluvia";"0.0";"1";"L/m2"
"17/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"17/06/2023";"Temperatura media  atura a 1.5m";"19.16";"1";"ºC"
"18/06/2023";"Lluvia";"21.4";"1";"L/m2"
"18/06/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"18/06/2023";"Temperatura media  atura a 1.5m";"17.94";"1";"ºC"
"19/06/2023";"Lluvia";"2.7";"1";"L/m2"
"19/06/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"19/06/2023";"Temperatura media  atura a 1.5m";"17.60";"1";"ºC"
"20/06/2023";"Lluvia";"6.1";"1";"L/m2"
"20/06/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"20/06/2023";"Temperatura media  atura a 1.5m";"16.36";"1";"ºC"
"21/06/2023";"Lluvia";"0.0";"1";"L/m2"
"21/06/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"21/06/2023";"Temperatura media  atura a 1.5m";"17.55";"1";"ºC"
"22/06/2023";"Lluvia";"0.0";"1";"L/m2"
"22/06/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"22/06/2023";"Temperatura media  atura a 1.5m";"19.64";"1";"ºC"
"23/06/2023";"Lluvia";"0.0";"1";"L/m2"
"23/06/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"23/06/2023";"Temperatura media  atura a 1.5m";"22.23";"1";"ºC"
"24/06/2023";"Lluvia";"0.0";"1";"L/m2"
"24/06/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"24/06/2023";"Temperatura media  atura a 1.5m";"24.05";"1";"ºC"
"25/06/2023";"Lluvia";"0.0";"1";"L/m2"
"25/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"25/06/2023";"Temperatura media  atura a 1.5m";"19.97";"1";"ºC"
"26/06/2023";"Lluvia";"0.0";"1";"L/m2"
"26/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"26/06/2023";"Temperatura media  atura a 1.5m";"20.14";"1";"ºC"
"27/06/2023";"Lluvia";"0.0";"1";"L/m2"
"27/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"27/06/2023";"Temperatura media  atura a 1.5m";"20.33";"1";"ºC"
"28/06/2023";"Lluvia";"0.0";"1";"L/m2"
"28/06/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"28/06/2023";"Temperatura media  atura a 1.5m";"18.51";"1";"ºC"
"29/06/2023";"Lluvia";"0.7";"1";"L/m2"
"29/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"29/06/2023";"Temperatura media  atura a 1.5m";"17.05";"1";"ºC"
"30/06/2023";"Lluvia";"0.0";"1";"L/m2"
"30/06/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"30/06/2023";"Temperatura media  atura a 1.5m";"17.55";"1";"ºC"
"01/07/2023";"Lluvia";"0.0";"1";"L/m2"
"01/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"01/07/2023";"Temperatura media  atura a 1.5m";"19.92";"1";"ºC"
"02/07/2023";"Lluvia";"0.0";"1";"L/m2"
"02/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"02/07/2023";"Temperatura media  atura a 1.5m";"20.22";"1";"ºC"
"03/07/2023";"Lluvia";"0.0";"1";"L/m2"
"03/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"03/07/2023";"Temperatura media  atura a 1.5m";"19.48";"1";"ºC"
"04/07/2023";"Lluvia";"0.0";"1";"L/m2"
"04/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"04/07/2023";"Temperatura media  atura a 1.5m";"18.78";"1";"ºC"
"05/07/2023";"Lluvia";"0.0";"1";"L/m2"
"05/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/07/2023";"Temperatura media  atura a 1.5m";"18.66";"1";"ºC"
"06/07/2023";"Lluvia";"0.0";"1";"L/m2"
"06/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"06/07/2023";"Temperatura media  atura a 1.5m";"18.97";"1";"ºC"
"07/07/2023";"Lluvia";"14.1";"1";"L/m2"
"07/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"07/07/2023";"Temperatura media  atura a 1.5m";"17.77";"1";"ºC"
"08/07/2023";"Lluvia";"3.0";"1";"L/m2"
"08/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"08/07/2023";"Temperatura media  atura a 1.5m";"17.99";"1";"ºC"
"09/07/2023";"Lluvia";"0.0";"1";"L/m2"
"09/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"09/07/2023";"Temperatura media  atura a 1.5m";"17.47";"1";"ºC"
"10/07/2023";"Lluvia";"0.0";"1";"L/m2"
"10/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"10/07/2023";"Temperatura media  atura a 1.5m";"19.72";"1";"ºC"
"11/07/2023";"Lluvia";"0.0";"1";"L/m2"
"11/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"11/07/2023";"Temperatura media  atura a 1.5m";"19.03";"1";"ºC"
"12/07/2023";"Lluvia";"1.6";"1";"L/m2"
"12/07/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"12/07/2023";"Temperatura media  atura a 1.5m";"18.78";"1";"ºC"
"13/07/2023";"Lluvia";"0.0";"1";"L/m2"
"13/07/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"13/07/2023";"Temperatura media  atura a 1.5m";"19.35";"1";"ºC"
"14/07/2023";"Lluvia";"2.8";"1";"L/m2"
"14/07/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"14/07/2023";"Temperatura media  atura a 1.5m";"17.78";"1";"ºC"
"15/07/2023";"Lluvia";"5.0";"1";"L/m2"
"15/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"15/07/2023";"Temperatura media  atura a 1.5m";"16.91";"1";"ºC"
"16/07/2023";"Lluvia";"0.0";"1";"L/m2"
"16/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"16/07/2023";"Temperatura media  atura a 1.5m";"15.81";"1";"ºC"
"17/07/2023";"Lluvia";"0.0";"1";"L/m2"
"17/07/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"17/07/2023";"Temperatura media  atura a 1.5m";"18.88";"1";"ºC"
"18/07/2023";"Lluvia";"0.0";"1";"L/m2"
"18/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"18/07/2023";"Temperatura media  atura a 1.5m";"19.16";"1";"ºC"
"19/07/2023";"Lluvia";"0.0";"1";"L/m2"
"19/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"19/07/2023";"Temperatura media  atura a 1.5m";"19.25";"1";"ºC"
"20/07/2023";"Lluvia";"0.0";"1";"L/m2"
"20/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"20/07/2023";"Temperatura media  atura a 1.5m";"18.74";"1";"ºC"
"21/07/2023";"Lluvia";"0.0";"1";"L/m2"
"21/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"21/07/2023";"Temperatura media  atura a 1.5m";"18.24";"1";"ºC"
"22/07/2023";"Lluvia";"0.0";"1";"L/m2"
"22/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"22/07/2023";"Temperatura media  atura a 1.5m";"17.69";"1";"ºC"
"23/07/2023";"Lluvia";"1.4";"1";"L/m2"
"23/07/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"23/07/2023";"Temperatura media  atura a 1.5m";"16.81";"1";"ºC"
"24/07/2023";"Lluvia";"0.6";"1";"L/m2"
"24/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"24/07/2023";"Temperatura media  atura a 1.5m";"17.09";"1";"ºC"
"25/07/2023";"Lluvia";"0.0";"1";"L/m2"
"25/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"25/07/2023";"Temperatura media  atura a 1.5m";"16.81";"1";"ºC"
"26/07/2023";"Lluvia";"0.0";"1";"L/m2"
"26/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"26/07/2023";"Temperatura media  atura a 1.5m";"19.71";"1";"ºC"
"27/07/2023";"Lluvia";"0.0";"1";"L/m2"
"27/07/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"27/07/2023";"Temperatura media  atura a 1.5m";"18.63";"1";"ºC"
"28/07/2023";"Lluvia";"4.3";"1";"L/m2"
"28/07/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"28/07/2023";"Temperatura media  atura a 1.5m";"18.48";"1";"ºC"
"29/07/2023";"Lluvia";"5.9";"1";"L/m2"
"29/07/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"29/07/2023";"Temperatura media  atura a 1.5m";"19.78";"1";"ºC"
"30/07/2023";"Lluvia";"0.0";"1";"L/m2"
"30/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"30/07/2023";"Temperatura media  atura a 1.5m";"19.41";"1";"ºC"
"31/07/2023";"Lluvia";"0.0";"1";"L/m2"
"31/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"31/07/2023";"Temperatura media  atura a 1.5m";"18.97";"1";"ºC"
"01/08/2023";"Lluvia";"3.0";"1";"L/m2"
"01/08/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"01/08/2023";"Temperatura media  atura a 1.5m";"20.08";"1";"ºC"
"02/08/2023";"Lluvia";"5.0";"1";"L/m2"
"02/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"02/08/2023";"Temperatura media  atura a 1.5m";"19.13";"1";"ºC"
"03/08/2023";"Lluvia";"0.0";"1";"L/m2"
"03/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"03/08/2023";"Temperatura media  atura a 1.5m";"16.55";"1";"ºC"
"04/08/2023";"Lluvia";"0.0";"1";"L/m2"
"04/08/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"04/08/2023";"Temperatura media  atura a 1.5m";"17.20";"1";"ºC"
"05/08/2023";"Lluvia";"0.0";"1";"L/m2"
"05/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"05/08/2023";"Temperatura media  atura a 1.5m";"18.46";"1";"ºC"
"06/08/2023";"Lluvia";"0.0";"1";"L/m2"
"06/08/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"06/08/2023";"Temperatura media  atura a 1.5m";"19.06";"1";"ºC"
"07/08/2023";"Lluvia";"0.0";"1";"L/m2"
"07/08/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"07/08/2023";"Temperatura media  atura a 1.5m";"21.41";"1";"ºC"
"08/08/2023";"Lluvia";"0.0";"1";"L/m2"
"08/08/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"08/08/2023";"Temperatura media  atura a 1.5m";"24.47";"1";"ºC"
"09/08/2023";"Lluvia";"0.0";"1";"L/m2"
"09/08/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"09/08/2023";"Temperatura media  atura a 1.5m";"19.53";"1";"ºC"
"10/08/2023";"Lluvia";"0.0";"1";"L/m2"
"10/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"10/08/2023";"Temperatura media  atura a 1.5m";"21.52";"1";"ºC"
"11/08/2023";"Lluvia";"0.0";"1";"L/m2"
"11/08/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"11/08/2023";"Temperatura media  atura a 1.5m";"21.01";"1";"ºC"
"12/08/2023";"Lluvia";"0.0";"1";"L/m2"
"12/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"12/08/2023";"Temperatura media  atura a 1.5m";"20.06";"1";"ºC"
"13/08/2023";"Lluvia";"0.0";"1";"L/m2"
"13/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"13/08/2023";"Temperatura media  atura a 1.5m";"18.85";"1";"ºC"
"14/08/2023";"Lluvia";"0.0";"1";"L/m2"
"14/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/08/2023";"Temperatura media  atura a 1.5m";"18.70";"1";"ºC"
"15/08/2023";"Lluvia";"0.0";"1";"L/m2"
"15/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"15/08/2023";"Temperatura media  atura a 1.5m";"19.38";"1";"ºC"
"16/08/2023";"Lluvia";"0.0";"1";"L/m2"
"16/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"16/08/2023";"Temperatura media  atura a 1.5m";"20.87";"1";"ºC"
"17/08/2023";"Lluvia";"0.6";"1";"L/m2"
"17/08/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"17/08/2023";"Temperatura media  atura a 1.5m";"18.45";"1";"ºC"
"18/08/2023";"Lluvia";"32.5";"1";"L/m2"
"18/08/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/08/2023";"Temperatura media  atura a 1.5m";"20.63";"1";"ºC"
"19/08/2023";"Lluvia";"0.0";"1";"L/m2"
"19/08/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"19/08/2023";"Temperatura media  atura a 1.5m";"20.79";"1";"ºC"
"20/08/2023";"Lluvia";"0.0";"1";"L/m2"
"20/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"20/08/2023";"Temperatura media  atura a 1.5m";"20.28";"1";"ºC"
"21/08/2023";"Lluvia";"0.0";"1";"L/m2"
"21/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"21/08/2023";"Temperatura media  atura a 1.5m";"22.62";"1";"ºC"
"22/08/2023";"Lluvia";"0.0";"1";"L/m2"
"22/08/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"22/08/2023";"Temperatura media  atura a 1.5m";"26.06";"1";"ºC"
"23/08/2023";"Lluvia";"0.0";"1";"L/m2"
"23/08/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"23/08/2023";"Temperatura media  atura a 1.5m";"26.61";"1";"ºC"
"24/08/2023";"Lluvia";"0.0";"1";"L/m2"
"24/08/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"24/08/2023";"Temperatura media  atura a 1.5m";"20.14";"1";"ºC"
"25/08/2023";"Lluvia";"0.0";"1";"L/m2"
"25/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"25/08/2023";"Temperatura media  atura a 1.5m";"17.93";"1";"ºC"
"26/08/2023";"Lluvia";"1.1";"1";"L/m2"
"26/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"26/08/2023";"Temperatura media  atura a 1.5m";"15.92";"1";"ºC"
"27/08/2023";"Lluvia";"0.0";"1";"L/m2"
"27/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"27/08/2023";"Temperatura media  atura a 1.5m";"16.38";"1";"ºC"
"28/08/2023";"Lluvia";"1.1";"1";"L/m2"
"28/08/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"28/08/2023";"Temperatura media  atura a 1.5m";"17.05";"1";"ºC"
"29/08/2023";"Lluvia";"0.5";"1";"L/m2"
"29/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"29/08/2023";"Temperatura media  atura a 1.5m";"18.29";"1";"ºC"
"30/08/2023";"Lluvia";"0.0";"1";"L/m2"
"30/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"30/08/2023";"Temperatura media  atura a 1.5m";"18.53";"1";"ºC"
"31/08/2023";"Lluvia";"0.3";"1";"L/m2"
"31/08/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"31/08/2023";"Temperatura media  atura a 1.5m";"19.82";"1";"ºC"
"01/09/2023";"Lluvia";"12.8";"1";"L/m2"
"01/09/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"01/09/2023";"Temperatura media  atura a 1.5m";"16.89";"1";"ºC"
"02/09/2023";"Lluvia";"0.0";"1";"L/m2"
"02/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"02/09/2023";"Temperatura media  atura a 1.5m";"16.76";"1";"ºC"
"03/09/2023";"Lluvia";"0.6";"1";"L/m2"
"03/09/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"03/09/2023";"Temperatura media  atura a 1.5m";"20.27";"1";"ºC"
"04/09/2023";"Lluvia";"3.5";"1";"L/m2"
"04/09/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/09/2023";"Temperatura media  atura a 1.5m";"19.56";"1";"ºC"
"05/09/2023";"Lluvia";"11.1";"1";"L/m2"
"05/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"05/09/2023";"Temperatura media  atura a 1.5m";"19.29";"1";"ºC"
"06/09/2023";"Lluvia";"0.0";"1";"L/m2"
"06/09/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"06/09/2023";"Temperatura media  atura a 1.5m";"20.39";"1";"ºC"
"07/09/2023";"Lluvia";"0.0";"1";"L/m2"
"07/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"07/09/2023";"Temperatura media  atura a 1.5m";"20.10";"1";"ºC"
"08/09/2023";"Lluvia";"1.5";"1";"L/m2"
"08/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"08/09/2023";"Temperatura media  atura a 1.5m";"20.44";"1";"ºC"
"09/09/2023";"Lluvia";"15.9";"1";"L/m2"
"09/09/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"09/09/2023";"Temperatura media  atura a 1.5m";"18.34";"1";"ºC"
"10/09/2023";"Lluvia";"0.0";"1";"L/m2"
"10/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"10/09/2023";"Temperatura media  atura a 1.5m";"19.29";"1";"ºC"
"11/09/2023";"Lluvia";"4.0";"1";"L/m2"
"11/09/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"11/09/2023";"Temperatura media  atura a 1.5m";"18.58";"1";"ºC"
"12/09/2023";"Lluvia";"0.0";"1";"L/m2"
"12/09/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"12/09/2023";"Temperatura media  atura a 1.5m";"18.44";"1";"ºC"
"13/09/2023";"Lluvia";"0.0";"1";"L/m2"
"13/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"13/09/2023";"Temperatura media  atura a 1.5m";"18.94";"1";"ºC"
"14/09/2023";"Lluvia";"0.0";"1";"L/m2"
"14/09/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"14/09/2023";"Temperatura media  atura a 1.5m";"21.19";"1";"ºC"
"15/09/2023";"Lluvia";"0.0";"1";"L/m2"
"15/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"15/09/2023";"Temperatura media  atura a 1.5m";"19.03";"1";"ºC"
"16/09/2023";"Lluvia";"1.8";"1";"L/m2"
"16/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"16/09/2023";"Temperatura media  atura a 1.5m";"18.18";"1";"ºC"
"17/09/2023";"Lluvia";"34.8";"1";"L/m2"
"17/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"17/09/2023";"Temperatura media  atura a 1.5m";"16.27";"1";"ºC"
"18/09/2023";"Lluvia";"12.2";"1";"L/m2"
"18/09/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"18/09/2023";"Temperatura media  atura a 1.5m";"16.98";"1";"ºC"
"19/09/2023";"Lluvia";"0.0";"1";"L/m2"
"19/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"19/09/2023";"Temperatura media  atura a 1.5m";"16.31";"1";"ºC"
"20/09/2023";"Lluvia";"21.7";"1";"L/m2"
"20/09/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"20/09/2023";"Temperatura media  atura a 1.5m";"16.71";"1";"ºC"
"21/09/2023";"Lluvia";"1.8";"1";"L/m2"
"21/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"21/09/2023";"Temperatura media  atura a 1.5m";"15.17";"1";"ºC"
"22/09/2023";"Lluvia";"0.5";"1";"L/m2"
"22/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"22/09/2023";"Temperatura media  atura a 1.5m";"14.43";"1";"ºC"
"23/09/2023";"Lluvia";"0.0";"1";"L/m2"
"23/09/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"23/09/2023";"Temperatura media  atura a 1.5m";"14.64";"1";"ºC"
"24/09/2023";"Lluvia";"0.0";"1";"L/m2"
"24/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
