Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"31/01/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"2.77";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"3.64";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"4.72";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"3.93";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"5.00";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"5.96";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"5.29";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"4.59";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"7.90";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"5.74";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"5.25";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"4.92";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"6.09";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"58";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"10.28";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"9.63";"1";"ºC"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"9.84";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"9.11";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"10.06";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"9.53";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"12.43";"1";"ºC"
"20/02/2023";"Lluvia";"0.6";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"9.89";"1";"ºC"
"21/02/2023";"Lluvia";"5.0";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"11.60";"1";"ºC"
"22/02/2023";"Lluvia";"5.8";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"9.39";"1";"ºC"
"23/02/2023";"Lluvia";"0.4";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"5.84";"1";"ºC"
"24/02/2023";"Lluvia";"0.0";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"5.72";"1";"ºC"
"25/02/2023";"Lluvia";"9.2";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"4.82";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"6.24";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"61";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"4.78";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"4.20";"1";"ºC"
"01/03/2023";"Lluvia";"0.8";"1";"L/m2"
"01/03/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"01/03/2023";"Temperatura media  atura a 1.5m";"2.66";"1";"ºC"
"02/03/2023";"Lluvia";"0.0";"1";"L/m2"
"02/03/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"02/03/2023";"Temperatura media  atura a 1.5m";"3.85";"1";"ºC"
"03/03/2023";"Lluvia";"0.0";"1";"L/m2"
"03/03/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"03/03/2023";"Temperatura media  atura a 1.5m";"6.13";"1";"ºC"
"04/03/2023";"Lluvia";"0.0";"1";"L/m2"
"04/03/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"04/03/2023";"Temperatura media  atura a 1.5m";"7.44";"1";"ºC"
"05/03/2023";"Lluvia";"2.2";"1";"L/m2"
"05/03/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"05/03/2023";"Temperatura media  atura a 1.5m";"5.53";"1";"ºC"
