Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"25/09/2023";"Lluvia";"0.0";"1";"L/m2"
"25/09/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"25/09/2023";"Temperatura media  atura a 1.5m";"18.05";"1";"ºC"
"26/09/2023";"Lluvia";"0.0";"1";"L/m2"
"26/09/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"26/09/2023";"Temperatura media  atura a 1.5m";"19.79";"1";"ºC"
"27/09/2023";"Lluvia";"0.0";"1";"L/m2"
"27/09/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"27/09/2023";"Temperatura media  atura a 1.5m";"19.33";"1";"ºC"
"28/09/2023";"Lluvia";"0.0";"1";"L/m2"
"28/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"28/09/2023";"Temperatura media  atura a 1.5m";"19.73";"1";"ºC"
"29/09/2023";"Lluvia";"0.0";"1";"L/m2"
"29/09/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"29/09/2023";"Temperatura media  atura a 1.5m";"20.85";"1";"ºC"
"30/09/2023";"Lluvia";"0.0";"1";"L/m2"
"30/09/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"30/09/2023";"Temperatura media  atura a 1.5m";"21.56";"1";"ºC"
"01/10/2023";"Lluvia";"0.0";"1";"L/m2"
"01/10/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"01/10/2023";"Temperatura media  atura a 1.5m";"22.16";"1";"ºC"
"02/10/2023";"Lluvia";"0.0";"1";"L/m2"
"02/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"02/10/2023";"Temperatura media  atura a 1.5m";"20.05";"1";"ºC"
"03/10/2023";"Lluvia";"0.0";"1";"L/m2"
"03/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"03/10/2023";"Temperatura media  atura a 1.5m";"18.97";"1";"ºC"
"04/10/2023";"Lluvia";"0.0";"1";"L/m2"
"04/10/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"04/10/2023";"Temperatura media  atura a 1.5m";"19.69";"1";"ºC"
"05/10/2023";"Lluvia";"0.0";"1";"L/m2"
"05/10/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/10/2023";"Temperatura media  atura a 1.5m";"19.14";"1";"ºC"
"06/10/2023";"Lluvia";"0.0";"1";"L/m2"
"06/10/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"06/10/2023";"Temperatura media  atura a 1.5m";"19.54";"1";"ºC"
"07/10/2023";"Lluvia";"0.0";"1";"L/m2"
"07/10/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"07/10/2023";"Temperatura media  atura a 1.5m";"20.19";"1";"ºC"
"08/10/2023";"Lluvia";"0.0";"1";"L/m2"
"08/10/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"08/10/2023";"Temperatura media  atura a 1.5m";"19.81";"1";"ºC"
"09/10/2023";"Lluvia";"0.0";"1";"L/m2"
"09/10/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"09/10/2023";"Temperatura media  atura a 1.5m";"20.06";"1";"ºC"
"10/10/2023";"Lluvia";"0.0";"1";"L/m2"
"10/10/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"10/10/2023";"Temperatura media  atura a 1.5m";"19.53";"1";"ºC"
"11/10/2023";"Lluvia";"0.0";"1";"L/m2"
"11/10/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"11/10/2023";"Temperatura media  atura a 1.5m";"19.65";"1";"ºC"
"12/10/2023";"Lluvia";"0.0";"1";"L/m2"
"12/10/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"12/10/2023";"Temperatura media  atura a 1.5m";"19.43";"1";"ºC"
"13/10/2023";"Lluvia";"18.2";"1";"L/m2"
"13/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"13/10/2023";"Temperatura media  atura a 1.5m";"17.62";"1";"ºC"
"14/10/2023";"Lluvia";"0.0";"1";"L/m2"
"14/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"14/10/2023";"Temperatura media  atura a 1.5m";"18.09";"1";"ºC"
"15/10/2023";"Lluvia";"3.0";"1";"L/m2"
"15/10/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"15/10/2023";"Temperatura media  atura a 1.5m";"15.63";"1";"ºC"
"16/10/2023";"Lluvia";"1.6";"1";"L/m2"
"16/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"16/10/2023";"Temperatura media  atura a 1.5m";"17.88";"1";"ºC"
"17/10/2023";"Lluvia";"6.4";"1";"L/m2"
"17/10/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"17/10/2023";"Temperatura media  atura a 1.5m";"21.04";"1";"ºC"
"18/10/2023";"Lluvia";"13.4";"1";"L/m2"
"18/10/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"18/10/2023";"Temperatura media  atura a 1.5m";"17.90";"1";"ºC"
"19/10/2023";"Lluvia";"36.4";"1";"L/m2"
"19/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"19/10/2023";"Temperatura media  atura a 1.5m";"14.94";"1";"ºC"
"20/10/2023";"Lluvia";"6.0";"1";"L/m2"
"20/10/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"20/10/2023";"Temperatura media  atura a 1.5m";"13.76";"1";"ºC"
"21/10/2023";"Lluvia";"0.4";"1";"L/m2"
"21/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"21/10/2023";"Temperatura media  atura a 1.5m";"11.57";"1";"ºC"
"22/10/2023";"Lluvia";"0.6";"1";"L/m2"
"22/10/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"22/10/2023";"Temperatura media  atura a 1.5m";"13.70";"1";"ºC"
"23/10/2023";"Lluvia";"3.2";"1";"L/m2"
"23/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"23/10/2023";"Temperatura media  atura a 1.5m";"12.79";"1";"ºC"
"24/10/2023";"Lluvia";"12.0";"1";"L/m2"
"24/10/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"24/10/2023";"Temperatura media  atura a 1.5m";"13.70";"1";"ºC"
"25/10/2023";"Lluvia";"22.6";"1";"L/m2"
"25/10/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"25/10/2023";"Temperatura media  atura a 1.5m";"17.87";"1";"ºC"
"26/10/2023";"Lluvia";"52.8";"1";"L/m2"
"26/10/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"26/10/2023";"Temperatura media  atura a 1.5m";"15.83";"1";"ºC"
"27/10/2023";"Lluvia";"12.2";"1";"L/m2"
"27/10/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"27/10/2023";"Temperatura media  atura a 1.5m";"14.26";"1";"ºC"
"28/10/2023";"Lluvia";"24.0";"1";"L/m2"
"28/10/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"28/10/2023";"Temperatura media  atura a 1.5m";"15.71";"1";"ºC"
"29/10/2023";"Lluvia";"5.6";"1";"L/m2"
"29/10/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"29/10/2023";"Temperatura media  atura a 1.5m";"13.88";"1";"ºC"
"30/10/2023";"Lluvia";"6.0";"1";"L/m2"
"30/10/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"30/10/2023";"Temperatura media  atura a 1.5m";"11.55";"1";"ºC"
"31/10/2023";"Lluvia";"2.6";"1";"L/m2"
"31/10/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"31/10/2023";"Temperatura media  atura a 1.5m";"13.46";"1";"ºC"
"01/11/2023";"Lluvia";"16.6";"1";"L/m2"
"01/11/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"01/11/2023";"Temperatura media  atura a 1.5m";"15.34";"1";"ºC"
"02/11/2023";"Lluvia";"28.8";"1";"L/m2"
"02/11/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"02/11/2023";"Temperatura media  atura a 1.5m";"11.36";"1";"ºC"
"03/11/2023";"Lluvia";"4.2";"1";"L/m2"
"03/11/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"03/11/2023";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"04/11/2023";"Lluvia";"24.0";"1";"L/m2"
"04/11/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"04/11/2023";"Temperatura media  atura a 1.5m";"14.42";"1";"ºC"
"05/11/2023";"Lluvia";"24.0";"1";"L/m2"
"05/11/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"05/11/2023";"Temperatura media  atura a 1.5m";"11.15";"1";"ºC"
"06/11/2023";"Lluvia";"7.8";"1";"L/m2"
"06/11/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"06/11/2023";"Temperatura media  atura a 1.5m";"8.95";"1";"ºC"
"07/11/2023";"Lluvia";"6.0";"1";"L/m2"
"07/11/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"07/11/2023";"Temperatura media  atura a 1.5m";"10.06";"1";"ºC"
"08/11/2023";"Lluvia";"12.8";"1";"L/m2"
"08/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"08/11/2023";"Temperatura media  atura a 1.5m";"12.24";"1";"ºC"
"09/11/2023";"Lluvia";"0.8";"1";"L/m2"
"09/11/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"09/11/2023";"Temperatura media  atura a 1.5m";"11.76";"1";"ºC"
"10/11/2023";"Lluvia";"10.8";"1";"L/m2"
"10/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"10/11/2023";"Temperatura media  atura a 1.5m";"12.81";"1";"ºC"
"11/11/2023";"Lluvia";"0.8";"1";"L/m2"
"11/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"11/11/2023";"Temperatura media  atura a 1.5m";"18.16";"1";"ºC"
"12/11/2023";"Lluvia";"0.0";"1";"L/m2"
"12/11/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"12/11/2023";"Temperatura media  atura a 1.5m";"18.79";"1";"ºC"
"13/11/2023";"Lluvia";"0.0";"1";"L/m2"
"13/11/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"13/11/2023";"Temperatura media  atura a 1.5m";"18.75";"1";"ºC"
"14/11/2023";"Lluvia";"7.6";"1";"L/m2"
"14/11/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"14/11/2023";"Temperatura media  atura a 1.5m";"17.54";"1";"ºC"
"15/11/2023";"Lluvia";"0.0";"1";"L/m2"
"15/11/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"15/11/2023";"Temperatura media  atura a 1.5m";"16.64";"1";"ºC"
"16/11/2023";"Lluvia";"3.2";"1";"L/m2"
"16/11/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"16/11/2023";"Temperatura media  atura a 1.5m";"16.88";"1";"ºC"
"17/11/2023";"Lluvia";"0.0";"1";"L/m2"
"17/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"17/11/2023";"Temperatura media  atura a 1.5m";"13.31";"1";"ºC"
"18/11/2023";"Lluvia";"0.0";"1";"L/m2"
"18/11/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"18/11/2023";"Temperatura media  atura a 1.5m";"12.20";"1";"ºC"
"19/11/2023";"Lluvia";"0.0";"1";"L/m2"
"19/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"19/11/2023";"Temperatura media  atura a 1.5m";"12.25";"1";"ºC"
"20/11/2023";"Lluvia";"0.0";"1";"L/m2"
"20/11/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"20/11/2023";"Temperatura media  atura a 1.5m";"12.84";"1";"ºC"
"21/11/2023";"Lluvia";"0.0";"1";"L/m2"
"21/11/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"21/11/2023";"Temperatura media  atura a 1.5m";"8.87";"1";"ºC"
"22/11/2023";"Lluvia";"0.0";"1";"L/m2"
"22/11/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"22/11/2023";"Temperatura media  atura a 1.5m";"10.05";"1";"ºC"
"23/11/2023";"Lluvia";"0.0";"1";"L/m2"
"23/11/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"23/11/2023";"Temperatura media  atura a 1.5m";"8.53";"1";"ºC"
"24/11/2023";"Lluvia";"0.0";"1";"L/m2"
"24/11/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"24/11/2023";"Temperatura media  atura a 1.5m";"7.20";"1";"ºC"
"25/11/2023";"Lluvia";"0.0";"1";"L/m2"
"25/11/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"25/11/2023";"Temperatura media  atura a 1.5m";"6.30";"1";"ºC"
"26/11/2023";"Lluvia";"0.0";"1";"L/m2"
"26/11/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"26/11/2023";"Temperatura media  atura a 1.5m";"6.25";"1";"ºC"
"27/11/2023";"Lluvia";"0.6";"1";"L/m2"
"27/11/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"27/11/2023";"Temperatura media  atura a 1.5m";"11.07";"1";"ºC"
"28/11/2023";"Lluvia";"8.0";"1";"L/m2"
"28/11/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"28/11/2023";"Temperatura media  atura a 1.5m";"13.25";"1";"ºC"
"29/11/2023";"Lluvia";"6.6";"1";"L/m2"
"29/11/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"29/11/2023";"Temperatura media  atura a 1.5m";"14.79";"1";"ºC"
"30/11/2023";"Lluvia";"18.4";"1";"L/m2"
"30/11/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"30/11/2023";"Temperatura media  atura a 1.5m";"9.49";"1";"ºC"
"01/12/2023";"Lluvia";"1.0";"1";"L/m2"
"01/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"01/12/2023";"Temperatura media  atura a 1.5m";"8.16";"1";"ºC"
"02/12/2023";"Lluvia";"0.0";"1";"L/m2"
"02/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"02/12/2023";"Temperatura media  atura a 1.5m";"6.72";"1";"ºC"
"03/12/2023";"Lluvia";"13.2";"1";"L/m2"
"03/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"03/12/2023";"Temperatura media  atura a 1.5m";"7.92";"1";"ºC"
"04/12/2023";"Lluvia";"4.0";"1";"L/m2"
"04/12/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"04/12/2023";"Temperatura media  atura a 1.5m";"9.59";"1";"ºC"
"05/12/2023";"Lluvia";"0.0";"1";"L/m2"
"05/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"05/12/2023";"Temperatura media  atura a 1.5m";"4.66";"1";"ºC"
"06/12/2023";"Lluvia";"0.8";"1";"L/m2"
"06/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"06/12/2023";"Temperatura media  atura a 1.5m";"4.50";"1";"ºC"
"07/12/2023";"Lluvia";"31.2";"1";"L/m2"
"07/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"07/12/2023";"Temperatura media  atura a 1.5m";"11.04";"1";"ºC"
"08/12/2023";"Lluvia";"3.4";"1";"L/m2"
"08/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"08/12/2023";"Temperatura media  atura a 1.5m";"9.73";"1";"ºC"
"09/12/2023";"Lluvia";"0.8";"1";"L/m2"
"09/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"09/12/2023";"Temperatura media  atura a 1.5m";"15.66";"1";"ºC"
"10/12/2023";"Lluvia";"0.4";"1";"L/m2"
"10/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"10/12/2023";"Temperatura media  atura a 1.5m";"16.72";"1";"ºC"
"11/12/2023";"Lluvia";"0.0";"1";"L/m2"
"11/12/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"11/12/2023";"Temperatura media  atura a 1.5m";"16.16";"1";"ºC"
"12/12/2023";"Lluvia";"18.4";"1";"L/m2"
"12/12/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"12/12/2023";"Temperatura media  atura a 1.5m";"13.44";"1";"ºC"
"13/12/2023";"Lluvia";"0.8";"1";"L/m2"
"13/12/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"13/12/2023";"Temperatura media  atura a 1.5m";"9.01";"1";"ºC"
"14/12/2023";"Lluvia";"0.0";"1";"L/m2"
"14/12/2023";"Humedad relativa media a 1.5m";"91";"1";"%"
"14/12/2023";"Temperatura media  atura a 1.5m";"7.90";"1";"ºC"
"15/12/2023";"Lluvia";"0.0";"1";"L/m2"
"15/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"15/12/2023";"Temperatura media  atura a 1.5m";"6.33";"1";"ºC"
"16/12/2023";"Lluvia";"0.0";"1";"L/m2"
"16/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"16/12/2023";"Temperatura media  atura a 1.5m";"4.69";"1";"ºC"
"17/12/2023";"Lluvia";"0.0";"1";"L/m2"
"17/12/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"17/12/2023";"Temperatura media  atura a 1.5m";"3.11";"1";"ºC"
"18/12/2023";"Lluvia";"0.0";"1";"L/m2"
"18/12/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"18/12/2023";"Temperatura media  atura a 1.5m";"1.56";"1";"ºC"
"19/12/2023";"Lluvia";"1.6";"1";"L/m2"
"19/12/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"19/12/2023";"Temperatura media  atura a 1.5m";"1.04";"1";"ºC"
"20/12/2023";"Lluvia";"0.8";"1";"L/m2"
"20/12/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"20/12/2023";"Temperatura media  atura a 1.5m";"7.13";"1";"ºC"
"21/12/2023";"Lluvia";"0.0";"1";"L/m2"
"21/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"21/12/2023";"Temperatura media  atura a 1.5m";"7.54";"1";"ºC"
"22/12/2023";"Lluvia";"0.0";"1";"L/m2"
"22/12/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"22/12/2023";"Temperatura media  atura a 1.5m";"6.18";"1";"ºC"
"23/12/2023";"Lluvia";"0.0";"1";"L/m2"
"23/12/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"23/12/2023";"Temperatura media  atura a 1.5m";"5.49";"1";"ºC"
"24/12/2023";"Lluvia";"0.0";"1";"L/m2"
"24/12/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"24/12/2023";"Temperatura media  atura a 1.5m";"3.79";"1";"ºC"
"25/12/2023";"Lluvia";"0.0";"1";"L/m2"
"25/12/2023";"Humedad relativa media a 1.5m";"97";"1";"%"
"25/12/2023";"Temperatura media  atura a 1.5m";"2.53";"1";"ºC"
"26/12/2023";"Lluvia";"0.0";"1";"L/m2"
"26/12/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"26/12/2023";"Temperatura media  atura a 1.5m";"5.26";"1";"ºC"
"27/12/2023";"Lluvia";"0.0";"1";"L/m2"
"27/12/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"27/12/2023";"Temperatura media  atura a 1.5m";"8.39";"1";"ºC"
"28/12/2023";"Lluvia";"12.6";"1";"L/m2"
"28/12/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"28/12/2023";"Temperatura media  atura a 1.5m";"11.09";"1";"ºC"
"29/12/2023";"Lluvia";"2.6";"1";"L/m2"
"29/12/2023";"Humedad relativa media a 1.5m";"99";"1";"%"
"29/12/2023";"Temperatura media  atura a 1.5m";"10.92";"1";"ºC"
"30/12/2023";"Lluvia";"0.4";"1";"L/m2"
"30/12/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"30/12/2023";"Temperatura media  atura a 1.5m";"10.02";"1";"ºC"
"31/12/2023";"Lluvia";"4.2";"1";"L/m2"
"31/12/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"31/12/2023";"Temperatura media  atura a 1.5m";"9.07";"1";"ºC"
"01/01/2024";"Lluvia";"0.0";"1";"L/m2"
"01/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"01/01/2024";"Temperatura media  atura a 1.5m";"8.19";"1";"ºC"
"02/01/2024";"Lluvia";"15.2";"1";"L/m2"
"02/01/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"02/01/2024";"Temperatura media  atura a 1.5m";"13.92";"1";"ºC"
"03/01/2024";"Lluvia";"0.0";"1";"L/m2"
"03/01/2024";"Humedad relativa media a 1.5m";"82";"1";"%"
"03/01/2024";"Temperatura media  atura a 1.5m";"12.45";"1";"ºC"
"04/01/2024";"Lluvia";"5.0";"1";"L/m2"
"04/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"04/01/2024";"Temperatura media  atura a 1.5m";"10.29";"1";"ºC"
"05/01/2024";"Lluvia";"5.8";"1";"L/m2"
"05/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"05/01/2024";"Temperatura media  atura a 1.5m";"6.59";"1";"ºC"
"06/01/2024";"Lluvia";"0.0";"1";"L/m2"
"06/01/2024";"Humedad relativa media a 1.5m";"98";"1";"%"
"06/01/2024";"Temperatura media  atura a 1.5m";"5.57";"1";"ºC"
"07/01/2024";"Lluvia";"0.0";"1";"L/m2"
"07/01/2024";"Humedad relativa media a 1.5m";"95";"1";"%"
"07/01/2024";"Temperatura media  atura a 1.5m";"4.45";"1";"ºC"
"08/01/2024";"Lluvia";"1.0";"1";"L/m2"
"08/01/2024";"Humedad relativa media a 1.5m";"93";"1";"%"
"08/01/2024";"Temperatura media  atura a 1.5m";"3.88";"1";"ºC"
"09/01/2024";"Lluvia";"1.0";"1";"L/m2"
"09/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"09/01/2024";"Temperatura media  atura a 1.5m";"6.42";"1";"ºC"
"10/01/2024";"Lluvia";"10.8";"1";"L/m2"
"10/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"10/01/2024";"Temperatura media  atura a 1.5m";"7.28";"1";"ºC"
"11/01/2024";"Lluvia";"0.0";"1";"L/m2"
"11/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"11/01/2024";"Temperatura media  atura a 1.5m";"5.07";"1";"ºC"
"12/01/2024";"Lluvia";"0.0";"1";"L/m2"
"12/01/2024";"Humedad relativa media a 1.5m";"78";"1";"%"
"12/01/2024";"Temperatura media  atura a 1.5m";"4.16";"1";"ºC"
"13/01/2024";"Lluvia";"4.8";"1";"L/m2"
"13/01/2024";"Humedad relativa media a 1.5m";"76";"1";"%"
"13/01/2024";"Temperatura media  atura a 1.5m";"9.87";"1";"ºC"
"14/01/2024";"Lluvia";"13.0";"1";"L/m2"
"14/01/2024";"Humedad relativa media a 1.5m";"100";"1";"%"
"14/01/2024";"Temperatura media  atura a 1.5m";"11.37";"1";"ºC"
"15/01/2024";"Lluvia";"3.6";"1";"L/m2"
"15/01/2024";"Humedad relativa media a 1.5m";"97";"1";"%"
"15/01/2024";"Temperatura media  atura a 1.5m";"13.42";"1";"ºC"
"16/01/2024";"Lluvia";"8.0";"1";"L/m2"
"16/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"16/01/2024";"Temperatura media  atura a 1.5m";"12.37";"1";"ºC"
"17/01/2024";"Lluvia";"11.8";"1";"L/m2"
"17/01/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"17/01/2024";"Temperatura media  atura a 1.5m";"13.67";"1";"ºC"
"18/01/2024";"Lluvia";"2.4";"1";"L/m2"
"18/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"18/01/2024";"Temperatura media  atura a 1.5m";"11.53";"1";"ºC"
"19/01/2024";"Lluvia";"0.0";"1";"L/m2"
"19/01/2024";"Humedad relativa media a 1.5m";"75";"1";"%"
"19/01/2024";"Temperatura media  atura a 1.5m";"7.71";"1";"ºC"
"20/01/2024";"Lluvia";"0.0";"1";"L/m2"
"20/01/2024";"Humedad relativa media a 1.5m";"84";"1";"%"
"20/01/2024";"Temperatura media  atura a 1.5m";"3.36";"1";"ºC"
"21/01/2024";"Lluvia";"0.0";"1";"L/m2"
"21/01/2024";"Humedad relativa media a 1.5m";"79";"1";"%"
"21/01/2024";"Temperatura media  atura a 1.5m";"8.51";"1";"ºC"
"22/01/2024";"Lluvia";"0.0";"1";"L/m2"
"22/01/2024";"Humedad relativa media a 1.5m";"83";"1";"%"
"22/01/2024";"Temperatura media  atura a 1.5m";"13.27";"1";"ºC"
"23/01/2024";"Lluvia";"0.0";"1";"L/m2"
"23/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"23/01/2024";"Temperatura media  atura a 1.5m";"14.26";"1";"ºC"
"24/01/2024";"Lluvia";"0.0";"1";"L/m2"
"24/01/2024";"Humedad relativa media a 1.5m";"91";"1";"%"
"24/01/2024";"Temperatura media  atura a 1.5m";"10.53";"1";"ºC"
"25/01/2024";"Lluvia";"0.0";"1";"L/m2"
"25/01/2024";"Humedad relativa media a 1.5m";"93";"1";"%"
"25/01/2024";"Temperatura media  atura a 1.5m";"8.75";"1";"ºC"
"26/01/2024";"Lluvia";"0.0";"1";"L/m2"
"26/01/2024";"Humedad relativa media a 1.5m";"92";"1";"%"
"26/01/2024";"Temperatura media  atura a 1.5m";"7.80";"1";"ºC"
"27/01/2024";"Lluvia";"0.0";"1";"L/m2"
"27/01/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"27/01/2024";"Temperatura media  atura a 1.5m";"8.20";"1";"ºC"
"28/01/2024";"Lluvia";"0.0";"1";"L/m2"
"28/01/2024";"Humedad relativa media a 1.5m";"81";"1";"%"
"28/01/2024";"Temperatura media  atura a 1.5m";"10.02";"1";"ºC"
"29/01/2024";"Lluvia";"0.0";"1";"L/m2"
"29/01/2024";"Humedad relativa media a 1.5m";"82";"1";"%"
"29/01/2024";"Temperatura media  atura a 1.5m";"10.70";"1";"ºC"
"30/01/2024";"Lluvia";"0.0";"1";"L/m2"
"30/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"30/01/2024";"Temperatura media  atura a 1.5m";"9.53";"1";"ºC"
"31/01/2024";"Lluvia";"0.0";"1";"L/m2"
"31/01/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"31/01/2024";"Temperatura media  atura a 1.5m";"8.99";"1";"ºC"
"01/02/2024";"Lluvia";"0.0";"1";"L/m2"
"01/02/2024";"Humedad relativa media a 1.5m";"89";"1";"%"
"01/02/2024";"Temperatura media  atura a 1.5m";"8.22";"1";"ºC"
"02/02/2024";"Lluvia";"0.0";"1";"L/m2"
"02/02/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"02/02/2024";"Temperatura media  atura a 1.5m";"9.29";"1";"ºC"
"03/02/2024";"Lluvia";"0.0";"1";"L/m2"
"03/02/2024";"Humedad relativa media a 1.5m";"85";"1";"%"
"03/02/2024";"Temperatura media  atura a 1.5m";"9.26";"1";"ºC"
"04/02/2024";"Lluvia";"0.0";"1";"L/m2"
"04/02/2024";"Humedad relativa media a 1.5m";"87";"1";"%"
"04/02/2024";"Temperatura media  atura a 1.5m";"8.90";"1";"ºC"
"05/02/2024";"Lluvia";"0.0";"1";"L/m2"
"05/02/2024";"Humedad relativa media a 1.5m";"88";"1";"%"
"05/02/2024";"Temperatura media  atura a 1.5m";"8.88";"1";"ºC"
"06/02/2024";"Lluvia";"0.0";"1";"L/m2"
"06/02/2024";"Humedad relativa media a 1.5m";"88";"1";"%"
"06/02/2024";"Temperatura media  atura a 1.5m";"8.95";"1";"ºC"
