Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"31/01/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"2.31";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"3.55";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"93";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"2.23";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"3.25";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"3.67";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"5.44";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"4.21";"1";"ºC"
"07/02/2023";"Lluvia";"0.0";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"3.54";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"5.52";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"4.70";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"3.73";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"2.68";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"3.75";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"7.41";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"8.01";"1";"ºC"
"15/02/2023";"Lluvia";"0.0";"1";"L/m2"
"15/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"15/02/2023";"Temperatura media  atura a 1.5m";"8.08";"1";"ºC"
"16/02/2023";"Lluvia";"0.0";"1";"L/m2"
"16/02/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"16/02/2023";"Temperatura media  atura a 1.5m";"7.86";"1";"ºC"
"17/02/2023";"Lluvia";"0.0";"1";"L/m2"
"17/02/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"17/02/2023";"Temperatura media  atura a 1.5m";"8.20";"1";"ºC"
"18/02/2023";"Lluvia";"0.0";"1";"L/m2"
"18/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"18/02/2023";"Temperatura media  atura a 1.5m";"9.70";"1";"ºC"
"19/02/2023";"Lluvia";"0.0";"1";"L/m2"
"19/02/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"19/02/2023";"Temperatura media  atura a 1.5m";"8.28";"1";"ºC"
"20/02/2023";"Lluvia";"0.0";"1";"L/m2"
"20/02/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"20/02/2023";"Temperatura media  atura a 1.5m";"9.73";"1";"ºC"
"21/02/2023";"Lluvia";"3.9";"1";"L/m2"
"21/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"21/02/2023";"Temperatura media  atura a 1.5m";"10.75";"1";"ºC"
"22/02/2023";"Lluvia";"11.5";"1";"L/m2"
"22/02/2023";"Humedad relativa media a 1.5m";"100";"1";"%"
"22/02/2023";"Temperatura media  atura a 1.5m";"7.87";"1";"ºC"
"23/02/2023";"Lluvia";"5.7";"1";"L/m2"
"23/02/2023";"Humedad relativa media a 1.5m";"95";"1";"%"
"23/02/2023";"Temperatura media  atura a 1.5m";"3.05";"1";"ºC"
"24/02/2023";"Lluvia";"3.5";"1";"L/m2"
"24/02/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"24/02/2023";"Temperatura media  atura a 1.5m";"3.67";"1";"ºC"
"25/02/2023";"Lluvia";"6.3";"1";"L/m2"
"25/02/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"25/02/2023";"Temperatura media  atura a 1.5m";"3.84";"1";"ºC"
"26/02/2023";"Lluvia";"0.0";"1";"L/m2"
"26/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"26/02/2023";"Temperatura media  atura a 1.5m";"4.71";"1";"ºC"
"27/02/2023";"Lluvia";"0.0";"1";"L/m2"
"27/02/2023";"Humedad relativa media a 1.5m";"60";"1";"%"
"27/02/2023";"Temperatura media  atura a 1.5m";"3.62";"1";"ºC"
"28/02/2023";"Lluvia";"0.0";"1";"L/m2"
"28/02/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"28/02/2023";"Temperatura media  atura a 1.5m";"2.84";"1";"ºC"
