Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Campus Lugo";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"13/05/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"13/05/2023";"Temperatura media  atura a 1.5m";"11.86";"1";"ºC"
"14/05/2023";"Lluvia";"0.0";"1";"L/m2"
"14/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"14/05/2023";"Temperatura media  atura a 1.5m";"14.29";"1";"ºC"
"15/05/2023";"Lluvia";"0.0";"1";"L/m2"
"15/05/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"15/05/2023";"Temperatura media  atura a 1.5m";"13.10";"1";"ºC"
"16/05/2023";"Lluvia";"0.0";"1";"L/m2"
"16/05/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"16/05/2023";"Temperatura media  atura a 1.5m";"11.82";"1";"ºC"
"17/05/2023";"Lluvia";"0.0";"1";"L/m2"
"17/05/2023";"Humedad relativa media a 1.5m";"64";"1";"%"
"17/05/2023";"Temperatura media  atura a 1.5m";"13.14";"1";"ºC"
"18/05/2023";"Lluvia";"0.0";"1";"L/m2"
"18/05/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"18/05/2023";"Temperatura media  atura a 1.5m";"12.76";"1";"ºC"
"19/05/2023";"Lluvia";"0.0";"1";"L/m2"
"19/05/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"19/05/2023";"Temperatura media  atura a 1.5m";"12.70";"1";"ºC"
"20/05/2023";"Lluvia";"0.0";"1";"L/m2"
"20/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"20/05/2023";"Temperatura media  atura a 1.5m";"13.41";"1";"ºC"
"21/05/2023";"Lluvia";"0.0";"1";"L/m2"
"21/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"21/05/2023";"Temperatura media  atura a 1.5m";"13.25";"1";"ºC"
"22/05/2023";"Lluvia";"0.0";"1";"L/m2"
"22/05/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"22/05/2023";"Temperatura media  atura a 1.5m";"15.16";"1";"ºC"
"23/05/2023";"Lluvia";"0.0";"1";"L/m2"
"23/05/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"23/05/2023";"Temperatura media  atura a 1.5m";"16.83";"1";"ºC"
"24/05/2023";"Lluvia";"0.0";"1";"L/m2"
"24/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"24/05/2023";"Temperatura media  atura a 1.5m";"16.40";"1";"ºC"
"25/05/2023";"Lluvia";"0.0";"1";"L/m2"
"25/05/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"25/05/2023";"Temperatura media  atura a 1.5m";"15.79";"1";"ºC"
"26/05/2023";"Lluvia";"0.4";"1";"L/m2"
"26/05/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"26/05/2023";"Temperatura media  atura a 1.5m";"16.29";"1";"ºC"
"27/05/2023";"Lluvia";"0.6";"1";"L/m2"
"27/05/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"27/05/2023";"Temperatura media  atura a 1.5m";"16.51";"1";"ºC"
"28/05/2023";"Lluvia";"1.2";"1";"L/m2"
"28/05/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"28/05/2023";"Temperatura media  atura a 1.5m";"16.27";"1";"ºC"
"29/05/2023";"Lluvia";"0.5";"1";"L/m2"
"29/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"29/05/2023";"Temperatura media  atura a 1.5m";"18.87";"1";"ºC"
"30/05/2023";"Lluvia";"2.1";"1";"L/m2"
"30/05/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"30/05/2023";"Temperatura media  atura a 1.5m";"16.93";"1";"ºC"
"31/05/2023";"Lluvia";"0.4";"1";"L/m2"
"31/05/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"31/05/2023";"Temperatura media  atura a 1.5m";"17.30";"1";"ºC"
"01/06/2023";"Lluvia";"0.0";"1";"L/m2"
"01/06/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"01/06/2023";"Temperatura media  atura a 1.5m";"18.46";"1";"ºC"
"02/06/2023";"Lluvia";"0.0";"1";"L/m2"
"02/06/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"02/06/2023";"Temperatura media  atura a 1.5m";"17.44";"1";"ºC"
"03/06/2023";"Lluvia";"6.8";"1";"L/m2"
"03/06/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"03/06/2023";"Temperatura media  atura a 1.5m";"17.33";"1";"ºC"
"04/06/2023";"Lluvia";"58.8";"1";"L/m2"
"04/06/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"04/06/2023";"Temperatura media  atura a 1.5m";"17.40";"1";"ºC"
"05/06/2023";"Lluvia";"0.0";"1";"L/m2"
"05/06/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"05/06/2023";"Temperatura media  atura a 1.5m";"19.24";"1";"ºC"
"06/06/2023";"Lluvia";"0.4";"1";"L/m2"
"06/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"06/06/2023";"Temperatura media  atura a 1.5m";"19.80";"1";"ºC"
"07/06/2023";"Lluvia";"3.9";"1";"L/m2"
"07/06/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"07/06/2023";"Temperatura media  atura a 1.5m";"19.05";"1";"ºC"
"08/06/2023";"Lluvia";"10.0";"1";"L/m2"
"08/06/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"08/06/2023";"Temperatura media  atura a 1.5m";"18.73";"1";"ºC"
"09/06/2023";"Lluvia";"4.8";"1";"L/m2"
"09/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"09/06/2023";"Temperatura media  atura a 1.5m";"17.97";"1";"ºC"
"10/06/2023";"Lluvia";"0.9";"1";"L/m2"
"10/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"10/06/2023";"Temperatura media  atura a 1.5m";"17.92";"1";"ºC"
"11/06/2023";"Lluvia";"1.6";"1";"L/m2"
"11/06/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"11/06/2023";"Temperatura media  atura a 1.5m";"17.63";"1";"ºC"
"12/06/2023";"Lluvia";"24.6";"1";"L/m2"
"12/06/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"12/06/2023";"Temperatura media  atura a 1.5m";"16.59";"1";"ºC"
"13/06/2023";"Lluvia";"0.0";"1";"L/m2"
"13/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"13/06/2023";"Temperatura media  atura a 1.5m";"16.84";"1";"ºC"
"14/06/2023";"Lluvia";"0.0";"1";"L/m2"
"14/06/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"14/06/2023";"Temperatura media  atura a 1.5m";"18.20";"1";"ºC"
"15/06/2023";"Lluvia";"0.0";"1";"L/m2"
"15/06/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"15/06/2023";"Temperatura media  atura a 1.5m";"20.49";"1";"ºC"
"16/06/2023";"Lluvia";"0.0";"1";"L/m2"
"16/06/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"16/06/2023";"Temperatura media  atura a 1.5m";"21.71";"1";"ºC"
"17/06/2023";"Lluvia";"0.0";"1";"L/m2"
"17/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"17/06/2023";"Temperatura media  atura a 1.5m";"19.66";"1";"ºC"
"18/06/2023";"Lluvia";"6.3";"1";"L/m2"
"18/06/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"18/06/2023";"Temperatura media  atura a 1.5m";"18.48";"1";"ºC"
"19/06/2023";"Lluvia";"11.4";"1";"L/m2"
"19/06/2023";"Humedad relativa media a 1.5m";"94";"1";"%"
"19/06/2023";"Temperatura media  atura a 1.5m";"17.20";"1";"ºC"
"20/06/2023";"Lluvia";"0.0";"1";"L/m2"
"20/06/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"20/06/2023";"Temperatura media  atura a 1.5m";"17.84";"1";"ºC"
"21/06/2023";"Lluvia";"2.7";"1";"L/m2"
"21/06/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"21/06/2023";"Temperatura media  atura a 1.5m";"17.91";"1";"ºC"
"22/06/2023";"Lluvia";"0.0";"1";"L/m2"
"22/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"22/06/2023";"Temperatura media  atura a 1.5m";"19.13";"1";"ºC"
"23/06/2023";"Lluvia";"0.0";"1";"L/m2"
"23/06/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"23/06/2023";"Temperatura media  atura a 1.5m";"21.68";"1";"ºC"
"24/06/2023";"Lluvia";"0.0";"1";"L/m2"
"24/06/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"24/06/2023";"Temperatura media  atura a 1.5m";"25.04";"1";"ºC"
"25/06/2023";"Lluvia";"0.0";"1";"L/m2"
"25/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"25/06/2023";"Temperatura media  atura a 1.5m";"21.00";"1";"ºC"
"26/06/2023";"Lluvia";"0.0";"1";"L/m2"
"26/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"26/06/2023";"Temperatura media  atura a 1.5m";"19.96";"1";"ºC"
"27/06/2023";"Lluvia";"0.0";"1";"L/m2"
"27/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"27/06/2023";"Temperatura media  atura a 1.5m";"19.40";"1";"ºC"
"28/06/2023";"Lluvia";"0.0";"1";"L/m2"
"28/06/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"28/06/2023";"Temperatura media  atura a 1.5m";"19.29";"1";"ºC"
"29/06/2023";"Lluvia";"0.0";"1";"L/m2"
"29/06/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"29/06/2023";"Temperatura media  atura a 1.5m";"16.17";"1";"ºC"
"30/06/2023";"Lluvia";"0.0";"5";"L/m2"
"30/06/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"30/06/2023";"Temperatura media  atura a 1.5m";"17.58";"1";"ºC"
"01/07/2023";"Lluvia";"0.0";"5";"L/m2"
"01/07/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"01/07/2023";"Temperatura media  atura a 1.5m";"20.40";"1";"ºC"
"02/07/2023";"Lluvia";"0.1";"5";"L/m2"
"02/07/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"02/07/2023";"Temperatura media  atura a 1.5m";"20.26";"1";"ºC"
"03/07/2023";"Lluvia";"0.0";"5";"L/m2"
"03/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"03/07/2023";"Temperatura media  atura a 1.5m";"19.67";"1";"ºC"
"04/07/2023";"Lluvia";"0.0";"5";"L/m2"
"04/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"04/07/2023";"Temperatura media  atura a 1.5m";"19.52";"1";"ºC"
"05/07/2023";"Lluvia";"0.0";"5";"L/m2"
"05/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"05/07/2023";"Temperatura media  atura a 1.5m";"18.70";"1";"ºC"
"06/07/2023";"Lluvia";"0.0";"5";"L/m2"
"06/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"06/07/2023";"Temperatura media  atura a 1.5m";"18.78";"1";"ºC"
"07/07/2023";"Lluvia";"0.0";"1";"L/m2"
"07/07/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"07/07/2023";"Temperatura media  atura a 1.5m";"20.62";"1";"ºC"
"08/07/2023";"Lluvia";"2.2";"1";"L/m2"
"08/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"08/07/2023";"Temperatura media  atura a 1.5m";"18.74";"1";"ºC"
"09/07/2023";"Lluvia";"0.0";"1";"L/m2"
"09/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"09/07/2023";"Temperatura media  atura a 1.5m";"17.77";"1";"ºC"
"10/07/2023";"Lluvia";"0.0";"1";"L/m2"
"10/07/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"10/07/2023";"Temperatura media  atura a 1.5m";"20.66";"1";"ºC"
"11/07/2023";"Lluvia";"0.0";"1";"L/m2"
"11/07/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"11/07/2023";"Temperatura media  atura a 1.5m";"20.23";"1";"ºC"
"12/07/2023";"Lluvia";"0.3";"1";"L/m2"
"12/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"12/07/2023";"Temperatura media  atura a 1.5m";"19.26";"1";"ºC"
"13/07/2023";"Lluvia";"0.0";"1";"L/m2"
"13/07/2023";"Humedad relativa media a 1.5m";"67";"1";"%"
"13/07/2023";"Temperatura media  atura a 1.5m";"19.72";"1";"ºC"
"14/07/2023";"Lluvia";"0.0";"1";"L/m2"
"14/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"14/07/2023";"Temperatura media  atura a 1.5m";"18.36";"1";"ºC"
"15/07/2023";"Lluvia";"4.5";"1";"L/m2"
"15/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"15/07/2023";"Temperatura media  atura a 1.5m";"17.25";"1";"ºC"
"16/07/2023";"Lluvia";"0.0";"1";"L/m2"
"16/07/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"16/07/2023";"Temperatura media  atura a 1.5m";"15.74";"1";"ºC"
"17/07/2023";"Lluvia";"0.0";"1";"L/m2"
"17/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"17/07/2023";"Temperatura media  atura a 1.5m";"18.11";"1";"ºC"
"18/07/2023";"Lluvia";"0.0";"1";"L/m2"
"18/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"18/07/2023";"Temperatura media  atura a 1.5m";"20.20";"1";"ºC"
"19/07/2023";"Lluvia";"0.0";"1";"L/m2"
"19/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"19/07/2023";"Temperatura media  atura a 1.5m";"19.36";"1";"ºC"
"20/07/2023";"Lluvia";"0.0";"1";"L/m2"
"20/07/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"20/07/2023";"Temperatura media  atura a 1.5m";"19.35";"1";"ºC"
"21/07/2023";"Lluvia";"0.0";"1";"L/m2"
"21/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"21/07/2023";"Temperatura media  atura a 1.5m";"17.76";"1";"ºC"
"22/07/2023";"Lluvia";"0.0";"1";"L/m2"
"22/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"22/07/2023";"Temperatura media  atura a 1.5m";"19.01";"1";"ºC"
"23/07/2023";"Lluvia";"0.9";"1";"L/m2"
"23/07/2023";"Humedad relativa media a 1.5m";"80";"1";"%"
"23/07/2023";"Temperatura media  atura a 1.5m";"17.98";"1";"ºC"
"24/07/2023";"Lluvia";"0.5";"1";"L/m2"
"24/07/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"24/07/2023";"Temperatura media  atura a 1.5m";"16.91";"1";"ºC"
"25/07/2023";"Lluvia";"0.0";"1";"L/m2"
"25/07/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"25/07/2023";"Temperatura media  atura a 1.5m";"17.43";"1";"ºC"
"26/07/2023";"Lluvia";"0.0";"1";"L/m2"
"26/07/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"26/07/2023";"Temperatura media  atura a 1.5m";"19.73";"1";"ºC"
"27/07/2023";"Lluvia";"0.0";"1";"L/m2"
"27/07/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"27/07/2023";"Temperatura media  atura a 1.5m";"20.21";"1";"ºC"
"28/07/2023";"Lluvia";"2.3";"1";"L/m2"
"28/07/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"28/07/2023";"Temperatura media  atura a 1.5m";"20.40";"1";"ºC"
"29/07/2023";"Lluvia";"5.5";"1";"L/m2"
"29/07/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"29/07/2023";"Temperatura media  atura a 1.5m";"20.04";"1";"ºC"
"30/07/2023";"Lluvia";"0.0";"1";"L/m2"
"30/07/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"30/07/2023";"Temperatura media  atura a 1.5m";"20.98";"1";"ºC"
"31/07/2023";"Lluvia";"0.0";"1";"L/m2"
"31/07/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"31/07/2023";"Temperatura media  atura a 1.5m";"20.12";"1";"ºC"
"01/08/2023";"Lluvia";"0.0";"1";"L/m2"
"01/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"01/08/2023";"Temperatura media  atura a 1.5m";"21.15";"1";"ºC"
"02/08/2023";"Lluvia";"4.6";"1";"L/m2"
"02/08/2023";"Humedad relativa media a 1.5m";"78";"1";"%"
"02/08/2023";"Temperatura media  atura a 1.5m";"19.27";"1";"ºC"
"03/08/2023";"Lluvia";"0.0";"1";"L/m2"
"03/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"03/08/2023";"Temperatura media  atura a 1.5m";"16.55";"1";"ºC"
"04/08/2023";"Lluvia";"0.0";"1";"L/m2"
"04/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"04/08/2023";"Temperatura media  atura a 1.5m";"15.98";"1";"ºC"
"05/08/2023";"Lluvia";"0.0";"1";"L/m2"
"05/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"05/08/2023";"Temperatura media  atura a 1.5m";"17.99";"1";"ºC"
"06/08/2023";"Lluvia";"0.0";"1";"L/m2"
"06/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"06/08/2023";"Temperatura media  atura a 1.5m";"18.09";"1";"ºC"
"07/08/2023";"Lluvia";"0.0";"1";"L/m2"
"07/08/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"07/08/2023";"Temperatura media  atura a 1.5m";"19.28";"1";"ºC"
"08/08/2023";"Lluvia";"0.0";"1";"L/m2"
"08/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"08/08/2023";"Temperatura media  atura a 1.5m";"22.09";"1";"ºC"
"09/08/2023";"Lluvia";"0.0";"1";"L/m2"
"09/08/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"09/08/2023";"Temperatura media  atura a 1.5m";"22.50";"1";"ºC"
"10/08/2023";"Lluvia";"0.0";"1";"L/m2"
"10/08/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"10/08/2023";"Temperatura media  atura a 1.5m";"21.97";"1";"ºC"
"11/08/2023";"Lluvia";"0.0";"1";"L/m2"
"11/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"11/08/2023";"Temperatura media  atura a 1.5m";"22.50";"1";"ºC"
"12/08/2023";"Lluvia";"0.0";"1";"L/m2"
"12/08/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"12/08/2023";"Temperatura media  atura a 1.5m";"21.36";"1";"ºC"
"13/08/2023";"Lluvia";"0.0";"1";"L/m2"
"13/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"13/08/2023";"Temperatura media  atura a 1.5m";"19.29";"1";"ºC"
"14/08/2023";"Lluvia";"0.0";"1";"L/m2"
"14/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"14/08/2023";"Temperatura media  atura a 1.5m";"19.87";"1";"ºC"
"15/08/2023";"Lluvia";"0.0";"1";"L/m2"
"15/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"15/08/2023";"Temperatura media  atura a 1.5m";"20.12";"1";"ºC"
"16/08/2023";"Lluvia";"0.0";"1";"L/m2"
"16/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"16/08/2023";"Temperatura media  atura a 1.5m";"20.97";"1";"ºC"
"17/08/2023";"Lluvia";"0.0";"1";"L/m2"
"17/08/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"17/08/2023";"Temperatura media  atura a 1.5m";"21.02";"1";"ºC"
"18/08/2023";"Lluvia";"3.2";"1";"L/m2"
"18/08/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"18/08/2023";"Temperatura media  atura a 1.5m";"21.95";"1";"ºC"
"19/08/2023";"Lluvia";"13.5";"1";"L/m2"
"19/08/2023";"Humedad relativa media a 1.5m";"98";"1";"%"
"19/08/2023";"Temperatura media  atura a 1.5m";"20.65";"1";"ºC"
"20/08/2023";"Lluvia";"0.0";"1";"L/m2"
"20/08/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"20/08/2023";"Temperatura media  atura a 1.5m";"21.42";"1";"ºC"
"21/08/2023";"Lluvia";"0.0";"1";"L/m2"
"21/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"21/08/2023";"Temperatura media  atura a 1.5m";"23.50";"1";"ºC"
"22/08/2023";"Lluvia";"0.0";"1";"L/m2"
"22/08/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"22/08/2023";"Temperatura media  atura a 1.5m";"23.94";"1";"ºC"
"23/08/2023";"Lluvia";"0.0";"1";"L/m2"
"23/08/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"23/08/2023";"Temperatura media  atura a 1.5m";"27.80";"1";"ºC"
"24/08/2023";"Lluvia";"0.0";"1";"L/m2"
"24/08/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"24/08/2023";"Temperatura media  atura a 1.5m";"24.21";"1";"ºC"
"25/08/2023";"Lluvia";"1.2";"1";"L/m2"
"25/08/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"25/08/2023";"Temperatura media  atura a 1.5m";"17.38";"1";"ºC"
"26/08/2023";"Lluvia";"0.5";"1";"L/m2"
"26/08/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"26/08/2023";"Temperatura media  atura a 1.5m";"15.87";"1";"ºC"
"27/08/2023";"Lluvia";"0.0";"1";"L/m2"
"27/08/2023";"Humedad relativa media a 1.5m";"75";"1";"%"
"27/08/2023";"Temperatura media  atura a 1.5m";"15.59";"1";"ºC"
"28/08/2023";"Lluvia";"2.6";"1";"L/m2"
"28/08/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"28/08/2023";"Temperatura media  atura a 1.5m";"17.41";"1";"ºC"
"29/08/2023";"Lluvia";"1.6";"1";"L/m2"
"29/08/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"29/08/2023";"Temperatura media  atura a 1.5m";"18.02";"1";"ºC"
"30/08/2023";"Lluvia";"0.0";"1";"L/m2"
"30/08/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"30/08/2023";"Temperatura media  atura a 1.5m";"18.19";"1";"ºC"
"31/08/2023";"Lluvia";"0.0";"1";"L/m2"
"31/08/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"31/08/2023";"Temperatura media  atura a 1.5m";"19.54";"1";"ºC"
"01/09/2023";"Lluvia";"2.4";"1";"L/m2"
"01/09/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"01/09/2023";"Temperatura media  atura a 1.5m";"16.92";"1";"ºC"
"02/09/2023";"Lluvia";"0.0";"1";"L/m2"
"02/09/2023";"Humedad relativa media a 1.5m";"90";"1";"%"
"02/09/2023";"Temperatura media  atura a 1.5m";"16.63";"1";"ºC"
"03/09/2023";"Lluvia";"1.3";"1";"L/m2"
"03/09/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"03/09/2023";"Temperatura media  atura a 1.5m";"18.43";"1";"ºC"
"04/09/2023";"Lluvia";"0.4";"1";"L/m2"
"04/09/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"04/09/2023";"Temperatura media  atura a 1.5m";"20.28";"1";"ºC"
"05/09/2023";"Lluvia";"0.8";"1";"L/m2"
"05/09/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"05/09/2023";"Temperatura media  atura a 1.5m";"19.70";"1";"ºC"
"06/09/2023";"Lluvia";"0.0";"1";"L/m2"
"06/09/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"06/09/2023";"Temperatura media  atura a 1.5m";"20.24";"1";"ºC"
"07/09/2023";"Lluvia";"5.8";"1";"L/m2"
"07/09/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"07/09/2023";"Temperatura media  atura a 1.5m";"20.89";"1";"ºC"
"08/09/2023";"Lluvia";"9.8";"1";"L/m2"
"08/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"08/09/2023";"Temperatura media  atura a 1.5m";"20.02";"1";"ºC"
"09/09/2023";"Lluvia";"18.4";"1";"L/m2"
"09/09/2023";"Humedad relativa media a 1.5m";"96";"1";"%"
"09/09/2023";"Temperatura media  atura a 1.5m";"17.32";"1";"ºC"
"10/09/2023";"Lluvia";"1.2";"1";"L/m2"
"10/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"10/09/2023";"Temperatura media  atura a 1.5m";"18.68";"1";"ºC"
"11/09/2023";"Lluvia";"6.8";"1";"L/m2"
"11/09/2023";"Humedad relativa media a 1.5m";"87";"1";"%"
"11/09/2023";"Temperatura media  atura a 1.5m";"18.15";"1";"ºC"
"12/09/2023";"Lluvia";"0.0";"1";"L/m2"
"12/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"12/09/2023";"Temperatura media  atura a 1.5m";"18.49";"1";"ºC"
"13/09/2023";"Lluvia";"0.0";"1";"L/m2"
"13/09/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"13/09/2023";"Temperatura media  atura a 1.5m";"17.52";"1";"ºC"
"14/09/2023";"Lluvia";"0.0";"1";"L/m2"
"14/09/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"14/09/2023";"Temperatura media  atura a 1.5m";"19.24";"1";"ºC"
"15/09/2023";"Lluvia";"24.0";"1";"L/m2"
"15/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"15/09/2023";"Temperatura media  atura a 1.5m";"18.49";"1";"ºC"
"16/09/2023";"Lluvia";"0.5";"1";"L/m2"
"16/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"16/09/2023";"Temperatura media  atura a 1.5m";"17.04";"1";"ºC"
"17/09/2023";"Lluvia";"5.4";"1";"L/m2"
"17/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"17/09/2023";"Temperatura media  atura a 1.5m";"14.70";"1";"ºC"
"18/09/2023";"Lluvia";"11.9";"1";"L/m2"
"18/09/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"18/09/2023";"Temperatura media  atura a 1.5m";"16.22";"1";"ºC"
"19/09/2023";"Lluvia";"0.0";"1";"L/m2"
"19/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"19/09/2023";"Temperatura media  atura a 1.5m";"16.71";"1";"ºC"
"20/09/2023";"Lluvia";"3.1";"1";"L/m2"
"20/09/2023";"Humedad relativa media a 1.5m";"85";"1";"%"
"20/09/2023";"Temperatura media  atura a 1.5m";"15.34";"1";"ºC"
"21/09/2023";"Lluvia";"8.8";"1";"L/m2"
"21/09/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"21/09/2023";"Temperatura media  atura a 1.5m";"13.95";"1";"ºC"
"22/09/2023";"Lluvia";"0.0";"1";"L/m2"
"22/09/2023";"Humedad relativa media a 1.5m";"84";"1";"%"
"22/09/2023";"Temperatura media  atura a 1.5m";"13.10";"1";"ºC"
"23/09/2023";"Lluvia";"0.0";"1";"L/m2"
"23/09/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"23/09/2023";"Temperatura media  atura a 1.5m";"13.45";"1";"ºC"
"24/09/2023";"Lluvia";"0.0";"1";"L/m2"
"24/09/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"24/09/2023";"Temperatura media  atura a 1.5m";"15.40";"1";"ºC"
"25/09/2023";"Lluvia";"0.0";"1";"L/m2"
