Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Coruña-Torre de Hércules";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"31/01/2023";"Humedad relativa media a 1.5m";"81";"1";"%"
"31/01/2023";"Temperatura media  atura a 1.5m";"8.58";"1";"ºC"
"01/02/2023";"Lluvia";"0.0";"1";"L/m2"
"01/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"01/02/2023";"Temperatura media  atura a 1.5m";"10.39";"1";"ºC"
"02/02/2023";"Lluvia";"0.0";"1";"L/m2"
"02/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"02/02/2023";"Temperatura media  atura a 1.5m";"9.80";"1";"ºC"
"03/02/2023";"Lluvia";"0.0";"1";"L/m2"
"03/02/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"03/02/2023";"Temperatura media  atura a 1.5m";"9.78";"1";"ºC"
"04/02/2023";"Lluvia";"0.0";"1";"L/m2"
"04/02/2023";"Humedad relativa media a 1.5m";"89";"1";"%"
"04/02/2023";"Temperatura media  atura a 1.5m";"9.31";"1";"ºC"
"05/02/2023";"Lluvia";"0.0";"1";"L/m2"
"05/02/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"05/02/2023";"Temperatura media  atura a 1.5m";"10.30";"1";"ºC"
"06/02/2023";"Lluvia";"0.0";"1";"L/m2"
"06/02/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"06/02/2023";"Temperatura media  atura a 1.5m";"10.20";"1";"ºC"
"07/02/2023";"Lluvia";"0.4";"1";"L/m2"
"07/02/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"07/02/2023";"Temperatura media  atura a 1.5m";"8.67";"1";"ºC"
"08/02/2023";"Lluvia";"0.0";"1";"L/m2"
"08/02/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"08/02/2023";"Temperatura media  atura a 1.5m";"10.13";"1";"ºC"
"09/02/2023";"Lluvia";"0.0";"1";"L/m2"
"09/02/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"09/02/2023";"Temperatura media  atura a 1.5m";"10.15";"1";"ºC"
"10/02/2023";"Lluvia";"0.0";"1";"L/m2"
"10/02/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"10/02/2023";"Temperatura media  atura a 1.5m";"9.71";"1";"ºC"
"11/02/2023";"Lluvia";"0.0";"1";"L/m2"
"11/02/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"11/02/2023";"Temperatura media  atura a 1.5m";"9.58";"1";"ºC"
"12/02/2023";"Lluvia";"0.0";"1";"L/m2"
"12/02/2023";"Humedad relativa media a 1.5m";"43";"1";"%"
"12/02/2023";"Temperatura media  atura a 1.5m";"11.87";"1";"ºC"
"13/02/2023";"Lluvia";"0.0";"1";"L/m2"
"13/02/2023";"Humedad relativa media a 1.5m";"47";"1";"%"
"13/02/2023";"Temperatura media  atura a 1.5m";"14.81";"1";"ºC"
"14/02/2023";"Lluvia";"0.0";"1";"L/m2"
"14/02/2023";"Humedad relativa media a 1.5m";"53";"1";"%"
"14/02/2023";"Temperatura media  atura a 1.5m";"15.16";"1";"ºC"
