Período de consulta de 01/01/2025 a 01/04/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"31/01/2025";"Humedad relativa media a 1.5m";"83";"1";"%"
"31/01/2025";"Temperatura media  atura a 1.5m";"7.94";"1";"ºC"
"01/02/2025";"Lluvia";"1.3";"1";"L/m2"
"01/02/2025";"Humedad relativa media a 1.5m";"97";"1";"%"
"01/02/2025";"Temperatura media  atura a 1.5m";"10.62";"1";"ºC"
"02/02/2025";"Lluvia";"2.1";"1";"L/m2"
"02/02/2025";"Humedad relativa media a 1.5m";"80";"1";"%"
"02/02/2025";"Temperatura media  atura a 1.5m";"9.12";"1";"ºC"
"03/02/2025";"Lluvia";"0.0";"1";"L/m2"
"03/02/2025";"Humedad relativa media a 1.5m";"84";"1";"%"
"03/02/2025";"Temperatura media  atura a 1.5m";"7.68";"1";"ºC"
"04/02/2025";"Lluvia";"0.0";"1";"L/m2"
"04/02/2025";"Humedad relativa media a 1.5m";"84";"1";"%"
"04/02/2025";"Temperatura media  atura a 1.5m";"7.91";"1";"ºC"
"05/02/2025";"Lluvia";"0.0";"1";"L/m2"
"05/02/2025";"Humedad relativa media a 1.5m";"77";"1";"%"
"05/02/2025";"Temperatura media  atura a 1.5m";"9.75";"1";"ºC"
"06/02/2025";"Lluvia";"1.0";"1";"L/m2"
"06/02/2025";"Humedad relativa media a 1.5m";"80";"1";"%"
"06/02/2025";"Temperatura media  atura a 1.5m";"8.64";"1";"ºC"
"07/02/2025";"Lluvia";"8.1";"1";"L/m2"
"07/02/2025";"Humedad relativa media a 1.5m";"90";"1";"%"
"07/02/2025";"Temperatura media  atura a 1.5m";"8.36";"1";"ºC"
"08/02/2025";"Lluvia";"1.1";"1";"L/m2"
"08/02/2025";"Humedad relativa media a 1.5m";"92";"1";"%"
"08/02/2025";"Temperatura media  atura a 1.5m";"4.35";"1";"ºC"
"09/02/2025";"Lluvia";"12.0";"1";"L/m2"
"09/02/2025";"Humedad relativa media a 1.5m";"97";"1";"%"
"09/02/2025";"Temperatura media  atura a 1.5m";"12.23";"1";"ºC"
"10/02/2025";"Lluvia";"5.0";"1";"L/m2"
"10/02/2025";"Humedad relativa media a 1.5m";"93";"1";"%"
"10/02/2025";"Temperatura media  atura a 1.5m";"12.25";"1";"ºC"
"11/02/2025";"Lluvia";"14.9";"1";"L/m2"
"11/02/2025";"Humedad relativa media a 1.5m";"93";"1";"%"
"11/02/2025";"Temperatura media  atura a 1.5m";"9.93";"1";"ºC"
"12/02/2025";"Lluvia";"1.3";"1";"L/m2"
"12/02/2025";"Humedad relativa media a 1.5m";"94";"1";"%"
"12/02/2025";"Temperatura media  atura a 1.5m";"9.61";"1";"ºC"
"13/02/2025";"Lluvia";"7.5";"1";"L/m2"
"13/02/2025";"Humedad relativa media a 1.5m";"92";"1";"%"
"13/02/2025";"Temperatura media  atura a 1.5m";"12.09";"1";"ºC"
"14/02/2025";"Lluvia";"0.0";"1";"L/m2"
"14/02/2025";"Humedad relativa media a 1.5m";"77";"1";"%"
"14/02/2025";"Temperatura media  atura a 1.5m";"12.44";"1";"ºC"
"15/02/2025";"Lluvia";"0.0";"1";"L/m2"
"15/02/2025";"Humedad relativa media a 1.5m";"75";"1";"%"
"15/02/2025";"Temperatura media  atura a 1.5m";"12.69";"1";"ºC"
"16/02/2025";"Lluvia";"6.2";"1";"L/m2"
"16/02/2025";"Humedad relativa media a 1.5m";"84";"1";"%"
"16/02/2025";"Temperatura media  atura a 1.5m";"11.20";"1";"ºC"
"17/02/2025";"Lluvia";"0.0";"1";"L/m2"
"17/02/2025";"Humedad relativa media a 1.5m";"79";"1";"%"
"17/02/2025";"Temperatura media  atura a 1.5m";"9.38";"1";"ºC"
"18/02/2025";"Lluvia";"0.0";"1";"L/m2"
"18/02/2025";"Humedad relativa media a 1.5m";"73";"1";"%"
"18/02/2025";"Temperatura media  atura a 1.5m";"12.72";"1";"ºC"
"19/02/2025";"Lluvia";"0.3";"1";"L/m2"
"19/02/2025";"Humedad relativa media a 1.5m";"90";"1";"%"
"19/02/2025";"Temperatura media  atura a 1.5m";"12.26";"1";"ºC"
"20/02/2025";"Lluvia";"0.6";"1";"L/m2"
"20/02/2025";"Humedad relativa media a 1.5m";"87";"1";"%"
"20/02/2025";"Temperatura media  atura a 1.5m";"12.70";"1";"ºC"
"21/02/2025";"Lluvia";"27.0";"1";"L/m2"
"21/02/2025";"Humedad relativa media a 1.5m";"86";"1";"%"
"21/02/2025";"Temperatura media  atura a 1.5m";"12.06";"1";"ºC"
"22/02/2025";"Lluvia";"3.2";"1";"L/m2"
"22/02/2025";"Humedad relativa media a 1.5m";"88";"1";"%"
"22/02/2025";"Temperatura media  atura a 1.5m";"9.61";"1";"ºC"
"23/02/2025";"Lluvia";"0.0";"1";"L/m2"
"23/02/2025";"Humedad relativa media a 1.5m";"81";"1";"%"
